epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,256.307,0.8866,2.88018,0.0024,0.84177,0.917,0.93211,0.82305,0.53052,0.41577,0.0016,0.00998857,0.00332952,0.00998857,0.00332952,0.00998857,0.00332952,0.00998857,0.00332952
2,453.433,0.66631,0.68485,0.00177,0.90939,0.9599,0.9613,0.84072,0.56796,0.30528,0.00174,0.0198896,0.00662988,0.0198896,0.00662988,0.0198896,0.00662988,0.0198896,0.00662988
3,629.538,0.68026,0.59864,0.00181,0.91222,0.953,0.97254,0.84887,0.56678,0.30988,0.00173,0.0296917,0.00989723,0.0296917,0.00989723,0.0296917,0.00989723,0.0296917,0.00989723
4,798.97,0.67357,0.58248,0.0018,0.92419,0.96205,0.97289,0.88165,0.46783,0.26007,0.00143,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,968.636,0.62897,0.49913,0.00166,0.93532,0.96539,0.9774,0.89466,0.43749,0.2263,0.00131,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1138.23,0.59171,0.451,0.00154,0.93571,0.96228,0.97911,0.89943,0.43097,0.22822,0.00129,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1307.77,0.58036,0.42132,0.00151,0.94959,0.96283,0.98372,0.91293,0.40135,0.2046,0.00122,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1477.28,0.56676,0.37475,0.00148,0.95476,0.97805,0.985,0.91138,0.41423,0.18386,0.00124,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1646.88,0.54453,0.35323,0.00142,0.95105,0.97797,0.98386,0.92829,0.36806,0.1758,0.0011,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1816.54,0.5313,0.33895,0.00137,0.95203,0.98002,0.98366,0.9294,0.36646,0.17106,0.00108,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1986.55,0.52059,0.32516,0.00134,0.97392,0.97368,0.98844,0.93172,0.36756,0.15655,0.0011,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,2155.95,0.51158,0.31733,0.00133,0.97278,0.97688,0.9885,0.93221,0.37252,0.15637,0.00111,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,2325.24,0.5058,0.31086,0.00129,0.97302,0.97434,0.98755,0.93751,0.35448,0.15016,0.00105,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,2494.77,0.495,0.30011,0.00126,0.97824,0.98356,0.99041,0.94324,0.34867,0.1388,0.00103,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,2664.07,0.4897,0.29457,0.00124,0.9807,0.97827,0.98946,0.94114,0.35064,0.14114,0.00103,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,2833.66,0.48173,0.28519,0.00122,0.96413,0.98666,0.98722,0.94107,0.34828,0.14904,0.00102,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,3002.78,0.47812,0.28501,0.00122,0.96973,0.98363,0.98762,0.94637,0.33613,0.14223,0.00099,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,3172.27,0.47251,0.2739,0.00119,0.97736,0.98432,0.99034,0.94962,0.33225,0.13359,0.00097,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,3341.66,0.47065,0.27471,0.0012,0.97392,0.97909,0.98881,0.95005,0.32915,0.1389,0.00097,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,3511.3,0.46939,0.26975,0.00118,0.97787,0.98767,0.9908,0.95235,0.32544,0.12927,0.00096,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,3680.55,0.46309,0.26613,0.00116,0.97725,0.99021,0.99043,0.94768,0.34215,0.13,0.00101,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,3850.39,0.46406,0.26523,0.00117,0.97334,0.98875,0.98979,0.95188,0.32279,0.13029,0.00095,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,4019.82,0.45605,0.25969,0.00114,0.97756,0.98672,0.99007,0.95323,0.32536,0.1276,0.00095,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,4189.41,0.4599,0.26163,0.00116,0.97646,0.98838,0.99085,0.955,0.32123,0.12647,0.00094,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,4358.61,0.45586,0.26045,0.00115,0.98019,0.98561,0.99088,0.95518,0.3196,0.12872,0.00093,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,4528.22,0.45184,0.25515,0.00114,0.98533,0.98649,0.99199,0.95727,0.31467,0.12025,0.00092,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,4697.6,0.44976,0.25262,0.00113,0.98311,0.98873,0.99195,0.96011,0.31193,0.11763,0.00091,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,4867.01,0.45136,0.25266,0.00114,0.98171,0.98514,0.99099,0.95914,0.31163,0.12368,0.00091,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,5036.46,0.45013,0.25061,0.00114,0.98335,0.9863,0.99165,0.95911,0.31035,0.12212,0.0009,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,5205.94,0.44627,0.24623,0.00111,0.98253,0.98872,0.99179,0.96278,0.30523,0.11757,0.00089,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,5375.43,0.43986,0.24037,0.0011,0.98486,0.98988,0.99189,0.96298,0.30564,0.1145,0.00089,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,5544.82,0.44109,0.23923,0.00111,0.9825,0.98984,0.99194,0.96333,0.30359,0.11398,0.00088,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,5714.1,0.44047,0.23429,0.0011,0.98602,0.98729,0.99205,0.96361,0.30389,0.11432,0.00089,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,5883.72,0.43824,0.23596,0.0011,0.98767,0.98872,0.99251,0.96377,0.30398,0.11165,0.00088,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,6054.34,0.43629,0.23708,0.00109,0.98727,0.98675,0.99182,0.96375,0.30149,0.11334,0.00088,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,6223.88,0.43651,0.23563,0.00109,0.98551,0.98981,0.99216,0.96462,0.3012,0.11284,0.00088,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,6393.24,0.43858,0.23493,0.00109,0.98593,0.98902,0.99234,0.96602,0.29827,0.11108,0.00087,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,6562.85,0.43317,0.2353,0.00108,0.98646,0.99011,0.9922,0.96578,0.29705,0.11072,0.00086,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
